	Subject	Predicate	Object	Pubmed	Title	Evidence
532	a(CHEBI:18059 ! lipid)	increases	"bp(MESH:D059865 ! ""Endoplasmic Reticulum Stress"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	ER stress can also be activated by excessive lipids or pro-inflammatory cytokines ( Kharroubi et al ., 2004 ; Pineau et al ., 2009 ) .
22	a(TEXT:UPR)	increases	"bp(GO:""GO:0045087"" ! ""innate immune response"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Activation of the three branches of UPR modulates a wide variety of signaling pathways, such as mitogen activated protein (MAP) kinase activation, autophagy, apoptosis, and innate immune response.
507	"bp(MESH:D059865 ! ""Endoplasmic Reticulum Stress"")"	increases	p(HGNC:3449 ! ERN1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Interestingly , the ER stress and TLR activation synergistically activate IRE1 and induce the production of pro-inflammatory cytokines such as IL-1 beta and IL-6 Frontiers in Microbiology | Virology ( Martinon et al ., 2010 ) .
505	"bp(MESH:D059865 ! ""Endoplasmic Reticulum Stress"")"	increases	p(HGNC:3064 ! DUSP1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Thus , the induction of DUSP1 by ER stress in coronavirus-infected cells may also contribute to virus-induced apoptosis via modulation of the MAP kinase pathways .
364	"a(TEXT:""RNase domain deleted mutants) enhanced IBV"")"	increases	p(HGNC:12801 ! XBP1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Consistently, knockdown of IRE1 inhibited IBV induced XBP1 mRNA splicing, whereas overexpression of wild-type IRE1 (but not its kinase dead or RNase domain deleted mutants) enhanced IBV induced XBP1 mRNA splicing.
499	"bp(GO:""GO:0005488"" ! binding)"	increases	p(HGNC:9437 ! EIF2AK2)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	PKR is induced by IFN and activated by the binding of double-stranded RNA ( dsRNA ) after virus infection ( Clemens and Elia , 1997 ) .
391	"a(TEXT:""UPR genes"")"	increases	"bp(GO:""GO:0006412"" ! translation)"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Also, it is difficult to separate the translation shutdown effect mediated by PERK and the induction of UPR genes by PERK and the other two ER stress sensors, as in the studies with MHV.
49	p(HGNC:3255 ! EIF2AK3)	increases	p(HGNC:12801 ! XBP1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	For example, besides being spliced by IRE1, XBP1 is also transcriptionally activated by PERK and ATF6 ( xref ; xref ).
48	p(HGNC:3255 ! EIF2AK3)	increases	p(HGNC:12801 ! XBP1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	For example , besides being spliced by IRE1 , XBP1 is also transcriptionally activated by PERK and ATF6 ( Yoshida et al ., 2001a ; Calfon et al ., 2002 ) .
488	"p(PFAM:PF04949 ! ""transcriptional activator"")"	increases	"a(TEXT:""UPR genes"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Whereas the unspliced XBP1 mRNA (XBP1u) encodes an inhibitor of the UPR, XBP1s encode a potent transcriptional activator, which translocates to the nucleus and enhances the expression of many UPR genes, including those encoding molecular chaperones and proteins contributing to ER associated degradation.
279	p(HGNC:3265 ! EIF2S1)	directlyIncreases	p(HGNC:786 ! ATF4, pmod(Ph))	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	However, XREF_BIBR have detected significant eIF2alpha phosphorylation and up-regulation of ATF4 in cells infected with MHV A59, although no induction of GADD153 and GADD34 was observed.
280	p(HGNC:3265 ! EIF2S1)	directlyIncreases	p(HGNC:786 ! ATF4, pmod(Ph))	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	However, xref have detected significant eIF2α phosphorylation and up-regulation of ATF4 in cells infected with MHV A59, although no induction of GADD153 and GADD34 was observed.
285	p(HGNC:16951 ! IVNS1ABP)	decreases	p(HGNC:9437 ! EIF2AK2)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	For example, the non structural 5A (NS5A) protein of hepatitis C virus directly interacts with the catalytic site of PKR, whereas the NS1 protein in the influenza A virus binds to dsRNAs and thus blocks PKR activation.
286	p(UP:P19711 ! P19711)	increases	p(HGNC:791 ! ATF6)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	The NS4B protein of HCV has been shown to activate ATF6 signaling in cultured cells.
273	p(HGNC:11850 ! TLR4)	increases	"a(TEXT:""IRE1-XBP1"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	XREF_BIBR have shown that in murine macrophages, the IRE1-XBP1 pathway is specifically activated by TLR4 and TLR2.
121	p(FPLX:p38 ! p38)	increases	"bp(GO:""GO:0001816"" ! ""cytokine production"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Interestingly, a protein phosphatase called dual-specificity phosphatase 1 (DUSP1) was also up-regulated in IBV infected cells and dephosphorylated p38 to modulate pro inflammatory cytokine production.
541	a(CHEBI:30413 ! heme)	increases	p(HGNC:24921 ! EIF2AK1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	HRI is activated in red blood cells and hepatocytes by low levels of heme.
20	a(TEXT:UPR)	increases	"bp(GO:""GO:0006914"" ! autophagy)"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Activation of the three branches of UPR modulates a wide variety of signaling pathways, such as mitogen activated protein (MAP) kinase activation, autophagy, apoptosis, and innate immune response.
40	p(HGNC:3255 ! EIF2AK3)	increases	"a(TEXT:""UPR genes"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Also, it is difficult to separate the translation shutdown effect mediated by PERK and the induction of UPR genes by PERK and the other two ER stress sensors, as in the studies with MHV.
193	p(HGNC:12801 ! XBP1)	increases	p(HGNC:5434 ! IFNB1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Consistently, XREF_BIBR have demonstrated that the IRE1-XBP1 pathway is also involved in IFN-beta and pro inflammatory cytokines production in murine DCs induced by polyI : C. Significantly, it has been shown that overexpression of the spliced form of XBP1 enhanced IFN-beta production in DCs and significantly suppressed vesicular stomatitis virus infection.
445	a(CHEBI:16235 ! guanine)	directlyIncreases	p(HGNC:3265 ! EIF2S1, pmod(Ph))	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Phosphorylated eIF2alpha forms a stable complex with and inhibits the turnover of eIF2B, a guanine nucleotide exchange factor that recycles inactive eIF2-GDP to active eIF2-GTP.
163	p(HGNC:791 ! ATF6)	increases	p(HGNC:12801 ! XBP1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	For example, besides being spliced by IRE1, XBP1 is also transcriptionally activated by PERK and ATF6.
630	p(HGNC:16228 ! TRIB3)	decreases	p(FPLX:ERK ! ERK)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	GADD153 exerts its pro-apoptotic activities via suppressing Bcl2 and ERKs by inducing TRIB3 .
631	p(HGNC:16228 ! TRIB3)	decreases	p(HGNC:990 ! BCL2)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	GADD153 exerts its pro-apoptotic activities via suppressing Bcl2 and ERKs by inducing TRIB3 .
98	p(PFAM:PF00803 ! 3a)	increases	p(HGNC:3255 ! EIF2AK3)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	It is possible that eIF2alpha is phosphorylated by PERK in SARS-CoV-infected cells, but similar loss-of-function experiments have not been performed, although overexpression of SARS-CoV accessory protein 3a has been shown to activate the PERK pathway.
164	p(HGNC:791 ! ATF6)	increases	p(HGNC:12801 ! XBP1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	For example , besides being spliced by IRE1 , XBP1 is also transcriptionally activated by PERK and ATF6 ( Yoshida et al ., 2001a ; Calfon et al ., 2002 ) .
216	p(HGNC:9437 ! EIF2AK2)	decreases	p(HGNC:2726 ! DDIT3)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	The up-regulation of GADD153 was likely mediated by both PKR and PERK, since knock-down of either PKR or PERK by siRNA reduces IBV induced GADD153.
18	p(UP:P0DTC2 ! P0DTC2)	increases	p(HGNC:12801 ! XBP1)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Either MHV infection or overexpression of the MHV S protein (but not other structural proteins) induces XBP1 mRNA splicing.
336	p(HGNC:11848 ! TLR2)	increases	"a(TEXT:""IRE1-XBP1"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	XREF_BIBR have shown that in murine macrophages, the IRE1-XBP1 pathway is specifically activated by TLR4 and TLR2.
335	p(UP:P0C6Y2 ! P0C6Y2)	increases	"a(TEXT:""nsp12-nsp16"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Autoproteolytic cleavage of pp1a produces 11 non structural proteins (nsp1-nsp11), while cleavage of pp1ab produces 15 non structural proteins (nsp1-nsp10 and nsp12-nsp16).
50	p(HGNC:3255 ! EIF2AK3)	decreases	p(HGNC:2726 ! DDIT3)	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	The up-regulation of GADD153 was likely mediated by both PKR and PERK, since knock-down of either PKR or PERK by siRNA reduces IBV induced GADD153.
334	p(UP:P0C6Y2 ! P0C6Y2)	increases	"a(TEXT:""nsp1-nsp10"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	Autoproteolytic cleavage of pp1a produces 11 non structural proteins (nsp1-nsp11), while cleavage of pp1ab produces 15 non structural proteins (nsp1-nsp10 and nsp12-nsp16).
214	p(HGNC:9437 ! EIF2AK2)	decreases	"bp(GO:""GO:0006915"" ! ""apoptotic process"")"	24987391	Coronavirus infection, {ER} stress, apoptosis and innate immunity.	However, knock-down of PKR using specific morpholino oligomers did not affect SARS-CoV-induced eIF2alpha phosphorylation but significantly inhibited SARS-CoV-induced apoptosis.
561	a(CHEBI:42223 ! emodin)	decreases	"bp(MESH:D028962 ! ""Coronavirus OC43, Human"")"	21356245	Emodin inhibits current through {SARS}-associated coronavirus 3a protein.	Here we demonstrate that emodin can inhibit the 3a ion channel of coronavirus SARS-CoV and HCoV-OC43 as well as virus release from HCoV-OC43 with a K1/2 value of about 20 muM.
560	a(CHEBI:42223 ! emodin)	decreases	"a(TEXT:""3a ion channel"")"	21356245	Emodin inhibits current through {SARS}-associated coronavirus 3a protein.	Here we demonstrate that emodin can inhibit the 3a ion channel of coronavirus SARS-CoV and HCoV-OC43 as well as virus release from HCoV-OC43 with a K1/2 value of about 20 muM.
457	"a(TEXT:""protease TMPRSS2"")"	increases	bp(MESH:D006388 ! Hemagglutinins)	21325420	Evidence that {TMPR\SS2} activates the severe acute respiratory syndrome coronavirus spike protein for membrane fusion and reduces viral control by the humoral immune response.	We along with others could previously show that the type II transmembrane protease TMPRSS2 activates the influenza virus hemagglutinin and the human metapneumovirus F protein by cleavage.
555	p(HGNC:11876 ! TMPRSS2)	increases	p(UP:P08767 ! P08767)	21325420	Evidence that {TMPR\SS2} activates the severe acute respiratory syndrome coronavirus spike protein for membrane fusion and reduces viral control by the humoral immune response.	In contrast, it is largely unknown whether host cell proteases located in the secretory pathway of infected cells and/or on the surface of target cells can cleave SARS S. We along with others could previously show that the type II transmembrane protease TMPRSS2 activates the influenza virus hemagglutinin and the human metapneumovirus F protein by cleavage.
456	"a(TEXT:""protease TMPRSS2"")"	increases	"p(PFAM:PF00469 ! ""F protein"")"	21325420	Evidence that {TMPR\SS2} activates the severe acute respiratory syndrome coronavirus spike protein for membrane fusion and reduces viral control by the humoral immune response.	We along with others could previously show that the type II transmembrane protease TMPRSS2 activates the influenza virus hemagglutinin and the human metapneumovirus F protein by cleavage.
553	p(HGNC:11876 ! TMPRSS2)	increases	p(PFAM:PF00509 ! Hemagglutinin)	21325420	Evidence that {TMPR\SS2} activates the severe acute respiratory syndrome coronavirus spike protein for membrane fusion and reduces viral control by the humoral immune response.	In contrast, it is largely unknown whether host cell proteases located in the secretory pathway of infected cells and/or on the surface of target cells can cleave SARS S. We along with others could previously show that the type II transmembrane protease TMPRSS2 activates the influenza virus hemagglutinin and the human metapneumovirus F protein by cleavage.
354	a(CHEBI:28874 ! phosphatidylinositol)	decreases	bp(MESH:D014780 ! Viruses)	30646565	From {SARS} to {MERS}, Thrusting Coronaviruses into the Spotlight.	By day 5-7 pi , the virus had been eliminated from the lungs [ 149 , 151 ] .
644	bp(MESH:D017934 ! Coronavirus)	increases	bp(MESH:D007239 ! Infection)	30646565	From {SARS} to {MERS}, Thrusting Coronaviruses into the Spotlight.	Following the 2003 SARS pandemic [ 2 , 3 ] , it became apparent that coronaviruses could cross the species barrier and cause life-threatening infections in humans .
331	p(HGNC:3009 ! DPP4)	increases	"bp(MESH:D013601 ! ""T-Lymphocytes"")"	30646565	From {SARS} to {MERS}, Thrusting Coronaviruses into the Spotlight.	T cells are another target for MERS-CoV because of their high amounts of CD26 [ 45 ] .
228	bp(MESH:D014780 ! Viruses)	decreases	"bp(MESH:D007107 ! ""Immune System"")"	30646565	From {SARS} to {MERS}, Thrusting Coronaviruses into the Spotlight.	Remarkably , unlike SARS-CoV , MERS-CoV has the ability to infect human dendritic cells [ 43 ] and macrophages [ 44 ] in vitro , thus helping the virus to disrupt the immune system .
227	bp(MESH:D014780 ! Viruses)	increases	"bp(MESH:D004196 ! ""Disease Outbreaks"")"	30893947	Host Determinants of {MERS}-{CoV} Transmission and Pathogenesis.	Since then , the virus has caused multiple outbreaks and infected more than 2000 individuals , [ 2 ] who then develop a respiratory infection ranging in severity from asymptomatic to fatal [ 3 , 4 ] .
539	bp(MESH:D000818 ! Animals)	increases	"bp(MESH:D065207 ! ""Middle East Respiratory Syndrome Coronavirus"")"	30893947	Host Determinants of {MERS}-{CoV} Transmission and Pathogenesis.	Given the fact that experimental in vivo infection studies and DPP4 expression analysis in different animal species revealed that dromedary camels are not the only animals in which MERS-CoV has an upper respiratory tract tropism [ 17 , 18 , 83 , 84 ] , it is then relevant to question whether other animals can potentially spread MERS-CoV as well .
519	bp(MESH:D009093 ! Mucus)	decreases	"bp(MESH:D065207 ! ""Middle East Respiratory Syndrome Coronavirus"")"	30893947	Host Determinants of {MERS}-{CoV} Transmission and Pathogenesis.	This guttural pouch infection results in excessive mucus production that might hinder MERS-CoV from attaching and entering the nasal epithelium [ 84 , 89 , 90 ] .
689	"a(TEXT:""UBL modifier protein"")"	decreases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	On the contrary, the HLA-F adjacent transcription 10 (FAT10), an UBL modifier protein, was shown to negatively regulate RIG-I by modulating RIG-I solubility through a non covalent association with CARDs.
12	p(HGNC:19102 ! DDX58)	increases	"bp(GO:""GO:0006954"" ! ""inflammatory response"")"	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Notably , viral RNA triggered RIG-I signaling also mediates the inflammatory response via distinct pathways .
225	p(HGNC:12665 ! VCL)	decreases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The MV infection induced DC-SIGN signaling results in an inhibition of GADD34-PP1 phosphatases activity and thereby impairs RIG-I activation.
685	"a(TEXT:""NY-1 HTNV"")"	decreases	"a(TEXT:""TBK1-TRAF3"")"	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Two other viruses, the NY-1 HTNV and SARS-CoV, disrupt the TBK1-TRAF3 and TANK, TBK1, and IKKepsilon complex, respectively.
686	"a(TEXT:""NY-1 HTNV"")"	decreases	p(HGNC:11562 ! TANK)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Two other viruses, the NY-1 HTNV and SARS-CoV, disrupt the TBK1-TRAF3 and TANK, TBK1, and IKKepsilon complex, respectively.
687	"a(TEXT:""NY-1 HTNV"")"	decreases	p(HGNC:11584 ! TBK1)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Two other viruses, the NY-1 HTNV and SARS-CoV, disrupt the TBK1-TRAF3 and TANK, TBK1, and IKKepsilon complex, respectively.
282	p(HGNC:16951 ! IVNS1ABP)	increases	p(HGNC:6118 ! IRF3)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The rotavirus NS1, targets both IRF3 and IRF7 for degradation to prevent IRFs from undergoing dimerization.
13	p(HGNC:19102 ! DDX58)	increases	"bp(GO:""GO:0006954"" ! ""inflammatory response"")"	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Notably, viral RNA triggered RIG-I signaling also mediates the inflammatory response via distinct pathways.
283	p(HGNC:16951 ! IVNS1ABP)	increases	p(HGNC:6122 ! IRF7)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The rotavirus NS1, targets both IRF3 and IRF7 for degradation to prevent IRFs from undergoing dimerization.
672	"complex(a(TEXT:""DENV NS5""), p(HGNC:30313 ! UBR4))"	decreases	p(HGNC:11363 ! STAT2)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	For example, MNV NS5 inhibits STAT1 phosphorylation, whereas DENV NS5 interacts with UBR4 to promote STAT2 degradation.
559	a(CHEBI:421707 ! abacavir)	increases	p(HGNC:29233 ! MAVS)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Another study reported that the HAV cysteine protease ABC targets MAVS for proteolysis at mitochondrial membrane.
699	"p(HGNC:4963 ! ""HLA-F"")"	decreases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	On the contrary, the HLA-F adjacent transcription 10 (FAT10), an UBL modifier protein, was shown to negatively regulate RIG-I by modulating RIG-I solubility through a non covalent association with CARDs.
563	p(HGNC:5248 ! HSPB3)	increases	p(HGNC:16007 ! TRIM63)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The K7 protein of the VACV prevents TBK1 and IKKepsilon complex induced IRF activation by targeting host DEAD box protein 3 (DDX3).
596	bp(MESH:D002364 ! Caseins)	directlyIncreases	p(HGNC:19102 ! DDX58, pmod(Ph, Ser, 855))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	In addition, the CTD of RIG-I is constitutively phosphorylated at Thr770 and Ser854/855 by casein kinase II to promote intermolecular interactions between CTD and CARDs, thereby maintaining RIG-I at an autorepressive state to prevent premature downstream signaling.
551	"bp(MESH:D012367 ! ""RNA, Viral"")"	increases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Notably , viral RNA triggered RIG-I signaling also mediates the inflammatory response via distinct pathways .
564	p(HGNC:5248 ! HSPB3)	decreases	p(PFAM:PF00270 ! DEAD)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The K7 protein of the VACV prevents TBK1 and IKKepsilon complex induced IRF activation by targeting host DEAD box protein 3 (DDX3).
361	p(HGNC:2745 ! DDX3X)	increases	p(HGNC:16007 ! TRIM63)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The K7 protein of the VACV prevents TBK1 and IKKepsilon complex induced IRF activation by targeting host DEAD box protein 3 (DDX3).
549	p(HGNC:1641 ! CD209)	decreases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The MV infection induced DC-SIGN signaling results in an inhibition of GADD34-PP1 phosphatases activity and thereby impairs RIG-I activation.
235	"bp(MESH:D045169 ! ""Severe Acute Respiratory Syndrome"")"	increases	"bp(GO:""GO:0005783"" ! ""endoplasmic reticulum"")"	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The severe acute respiratory syndrome (SARS) coronavirus (SARS-CoV) has been shown to induce a modified ER to hide its replicating RNA from detection.
318	"a(TEXT:""K63-ubiquitin chains"")"	increases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Non covalent binding of K63-ubiquitin chains to CARDs also potently activates RIG-I.
362	p(HGNC:2745 ! DDX3X)	increases	p(HGNC:5248 ! HSPB3)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The K7 protein of the VACV prevents TBK1 and IKKepsilon complex induced IRF activation by targeting host DEAD box protein 3 (DDX3).
363	p(HGNC:2745 ! DDX3X)	decreases	p(PFAM:PF00270 ! DEAD)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The K7 protein of the VACV prevents TBK1 and IKKepsilon complex induced IRF activation by targeting host DEAD box protein 3 (DDX3).
595	bp(MESH:D002364 ! Caseins)	directlyIncreases	p(HGNC:19102 ! DDX58, pmod(Ph, Ser, 854))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	In addition, the CTD of RIG-I is constitutively phosphorylated at Thr770 and Ser854/855 by casein kinase II to promote intermolecular interactions between CTD and CARDs, thereby maintaining RIG-I at an autorepressive state to prevent premature downstream signaling.
536	"p(FPLX:""IKK_complex"" ! ""IKK_complex"")"	directlyIncreases	p(HGNC:19102 ! DDX58, pmod(Ph, Ser, 855))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	A recent mass spectrometry analysis revealed that IKK phosphorylates RIG-I at Ser855, thereby providing a negative feedback regulation of RIG-I ( xref ).
535	"p(FPLX:""IKK_complex"" ! ""IKK_complex"")"	directlyIncreases	p(HGNC:19102 ! DDX58, pmod(Ph, Ser, 855))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	A recent mass spectrometry analysis revealed that IKK phosphorylates RIG-I at Ser855, thereby providing a negative feedback regulation of RIG-I.
530	p(HGNC:11018 ! SLC32A1)	increases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	For examples, vGAT (glutamine amidotransferase), from KSHV (kaposi 's sarcoma associated herpesvirus) and gammaHV68 (murine gamma herpesvirus 68), recruits cellular phosphoribosylformyglycinamide synthase to deamindate and activate RIG-I.
675	"a(TEXT:""MNV NS5"")"	decreases	p(HGNC:11362 ! STAT1, pmod(Ph))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	For example, MNV NS5 inhibits STAT1 phosphorylation, whereas DENV NS5 interacts with UBR4 to promote STAT2 degradation.
10	"p(FPLX:""E3_Ub_ligase"" ! ""E3_Ub_ligase"")"	decreases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	In addition , the oligoadenylate synthetases-like ( OASL ) protein , although not an E3 ubiquitin ligase itself , contains a dsRNA-binding groove and enhances RIG-I activation by mimicking the K63-linked pUb through its ubiquitin-like ( UBL ) domain ( 56 , 57 ) .
11	"p(FPLX:""E3_Ub_ligase"" ! ""E3_Ub_ligase"")"	directlyIncreases	p(HGNC:19102 ! DDX58, pmod(Ub))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	In addition, Riplet (RING-finger protein leading to RIG-I activation, also named RNF135 or REUL), another E3 ubiquitin ligase, also promotes RIG-I ubiquitination.
643	"bp(MESH:D009634 ! ""Noonan Syndrome"")"	decreases	a(TEXT:activity)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	One of the best studied examples is the inhibition of IRF3 activity by the IAV NS1 protein ( xref ).
565	p(HGNC:5248 ! HSPB3)	increases	p(HGNC:11584 ! TBK1, pmod(Ub))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	For example, both the leader proteinase (L pro) of FMDV and the non structural protein 3 (ns3) of the mouse hepatitis virus A59 inhibit ubiquitination of TBK1.
284	p(HGNC:16951 ! IVNS1ABP)	directlyDecreases	p(HGNC:19102 ! DDX58, pmod(Ub))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	This study further demonstrates that the NS1 suppression of RIG-I ubiquitination in mouse is Riplet dependent.
671	p(HGNC:21147 ! RNF122)	decreases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Similarly, RNF122 was recently demonstrated to mediate the proteasomal degradation of RIG-I by delivering the K48 linked ubiquitin to RIG-I CARDs.
182	p(FPLX:Protease ! Protease)	increases	p(HGNC:21158 ! RNF135)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	By contrast, the protease NS3-4A of HCV functions differently, rather than inhibiting TRIM25, it is thought to target the E3 ligase Riplet.
183	p(FPLX:Protease ! Protease)	decreases	p(HGNC:11584 ! TBK1, pmod(Ub))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	For example, both the leader proteinase (L pro) of FMDV and the non structural protein 3 (ns3) of the mouse hepatitis virus A59 inhibit ubiquitination of TBK1.
627	complex(p(HGNC:19102 ! DDX58), p(HGNC:29233 ! MAVS))	increases	p(FPLX:Interferon ! Interferon)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Mutation of K172 disrupts the interaction between RIG-I and MAVS thus abrogating downstream signaling and IFNs production.
342	"a(TEXT:""NS1-NS2"")"	increases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Intriguingly, the NS1-NS2 degradasome of the respiratory syncytial virus (RSV) has been shown to mediate the proteasomal degradation of RIG-I.
616	complex(p(HGNC:11584 ! TBK1), p(HGNC:14552 ! IKBKE))	increases	p(HGNC:16007 ! TRIM63)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The K7 protein of the VACV prevents TBK1 and IKKepsilon complex induced IRF activation by targeting host DEAD box protein 3 (DDX3).
610	p(HGNC:21158 ! RNF135)	increases	p(HGNC:19102 ! DDX58, pmod(Ub))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	In addition, Riplet (RING-finger protein leading to RIG-I activation, also named RNF135 or REUL), another E3 ubiquitin ligase, also promotes RIG-I ubiquitination.
306	p(FPLX:Proteasome ! Proteasome)	decreases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	The encephalomyocarditis virus directs both caspase- and proteasome dependent degradation of RIG-I.
609	p(HGNC:21158 ! RNF135)	increases	p(HGNC:19102 ! DDX58)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	However, unlike TRIM25 induced ubiquitination, Riplet induced RIG-I pUb is dispensable for RIG-I-RNA binding but is essential for releasing CARD from its autorepressed state.
588	"a(CHEBI:81035 ! ""NS-5"")"	decreases	"bp(GO:""GO:0016310"" ! phosphorylation)"	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	For example, MNV NS5 inhibits STAT1 phosphorylation, whereas DENV NS5 interacts with UBR4 to promote STAT2 degradation ( xref , xref ).
307	p(FPLX:Proteasome ! Proteasome)	decreases	p(HGNC:29233 ! MAVS)	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	Hepatitis B virus viral protein HBx triggers the proteasome mediated degradation of MAVS through Lys136 ubiquitination.
597	bp(MESH:D002364 ! Caseins)	directlyIncreases	p(HGNC:19102 ! DDX58, pmod(Ph, Thr, 770))	28096803	Host and Viral Modulation of {RIG}-I-Mediated Antiviral Immunity.	In addition, the CTD of RIG-I is constitutively phosphorylated at Thr770 and Ser854/855 by casein kinase II to promote intermolecular interactions between CTD and CARDs, thereby maintaining RIG-I at an autorepressive state to prevent premature downstream signaling.
